City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,manaure,CO,11.78,-72.44,84.58,70,100,13.73,overcast clouds
315,chivay,PE,-15.64,-71.6,59.45,36,99,5.28,light rain
316,moore,US,35.34,-97.49,70.0,45,1,6.93,clear sky
317,akdepe,TM,42.06,59.38,53.6,50,0,4.7,clear sky
318,bubaque,GW,11.28,-15.83,82.08,80,100,13.94,overcast clouds
319,inuvik,CA,68.35,-133.72,39.2,93,75,5.82,broken clouds
320,arica,CL,-18.48,-70.3,64.99,68,3,13.87,clear sky
321,sussex,US,41.18,-74.67,66.0,48,20,3.36,few clouds
322,san rafael,AR,-34.62,-68.33,52.3,54,54,14.81,broken clouds
323,san jose,US,37.34,-121.89,84.0,60,40,4.7,haze
324,powell,US,40.16,-83.08,66.99,42,75,5.82,broken clouds
325,reconquista,AR,-29.15,-59.65,63.18,72,100,7.96,overcast clouds
326,farah,AF,32.5,62.5,56.41,37,0,4.0,clear sky
327,winsum,NL,53.33,6.52,53.6,71,0,11.41,clear sky
328,khorixas,NA,-20.37,14.97,67.08,29,0,8.01,clear sky
329,lompoc,US,34.64,-120.46,78.8,44,1,4.7,clear sky
330,newcastleton,GB,55.18,-2.81,50.0,93,100,6.93,light rain
331,flinders,AU,-34.58,150.86,62.01,86,0,10.0,clear sky
332,phaltan,IN,17.98,74.43,75.07,78,93,5.73,overcast clouds
333,la ronge,CA,55.1,-105.28,62.6,55,75,11.41,broken clouds
334,port hardy,CA,50.7,-127.42,57.2,93,75,6.93,broken clouds
335,necochea,AR,-38.55,-58.74,46.0,80,100,4.0,moderate rain
336,tuatapere,NZ,-46.13,167.68,48.99,97,91,5.99,overcast clouds
337,tilichiki,RU,60.47,166.1,29.5,93,54,3.71,broken clouds
338,cidreira,BR,-30.18,-50.21,59.5,85,100,25.12,overcast clouds
339,slave lake,CA,55.28,-114.77,62.6,55,75,19.46,broken clouds
340,rorvik,NO,64.86,11.24,57.2,67,40,18.34,scattered clouds
341,northam,GB,51.03,-4.22,53.01,98,100,5.99,overcast clouds
342,dunedin,NZ,-45.87,170.5,51.01,82,56,8.01,broken clouds
343,key largo,US,25.09,-80.45,87.01,1,100,8.99,overcast clouds
344,bethel,US,41.37,-73.41,66.0,39,20,9.17,few clouds
345,mariel,CU,22.99,-82.75,86.0,84,75,8.05,broken clouds
346,mariental,NA,-24.63,17.97,78.6,17,100,6.89,overcast clouds
347,pevek,RU,69.7,170.31,31.86,91,63,10.89,broken clouds
348,broome,US,42.25,-75.83,62.01,45,100,1.99,overcast clouds
349,katsuura,JP,35.13,140.3,75.2,73,31,17.22,scattered clouds
350,ornskoldsvik,SE,63.29,18.72,55.4,76,90,10.29,overcast clouds
351,maragogi,BR,-9.01,-35.22,78.08,75,100,10.25,overcast clouds
352,gamba,GA,-2.65,10.0,76.84,86,100,5.97,overcast clouds
353,aksarka,RU,66.56,67.8,35.42,86,100,14.83,overcast clouds
354,port macquarie,AU,-31.43,152.92,54.0,95,4,12.5,clear sky
355,sakakah,SA,29.97,40.21,82.4,23,0,13.87,clear sky
356,tura,IN,25.52,90.22,75.06,88,16,1.9,few clouds
357,challapata,BO,-18.9,-66.77,55.45,47,48,6.87,light rain
358,inverell,AU,-29.78,151.12,51.01,91,0,3.02,clear sky
359,conceicao da barra,BR,-18.59,-39.73,81.1,64,85,7.23,overcast clouds
360,mayumba,GA,-3.43,10.66,77.11,86,100,5.1,light rain
361,waitati,NZ,-45.75,170.57,51.01,86,97,7.0,overcast clouds
362,pacific grove,US,36.62,-121.92,71.6,87,40,4.7,scattered clouds
363,hede,CN,33.77,120.25,52.93,73,0,5.86,light rain
364,kahului,US,20.89,-156.47,80.6,54,20,10.33,few clouds
365,laon,FR,49.57,3.67,51.8,87,100,10.29,overcast clouds
366,kayerkan,RU,69.35,87.76,30.2,100,75,13.42,light snow
367,menongue,AO,-14.66,17.69,78.42,26,96,6.04,overcast clouds
368,aklavik,CA,68.22,-135.01,41.0,93,75,2.24,broken clouds
369,axim,GH,4.87,-2.24,76.57,87,44,7.16,scattered clouds
370,ramshir,IR,30.89,49.41,87.8,48,0,2.66,clear sky
371,siverek,TR,37.76,39.32,71.6,21,0,6.93,clear sky
372,samarai,PG,-10.62,150.67,78.4,85,78,17.65,moderate rain
373,haimen,CN,23.19,116.61,80.6,83,20,6.71,few clouds
374,waipawa,NZ,-41.41,175.52,55.99,87,35,21.92,scattered clouds
375,valdez,EC,1.25,-78.98,77.94,77,26,10.29,scattered clouds
376,vila,PT,42.03,-8.16,52.0,85,65,5.01,broken clouds
377,griffith,US,41.53,-87.42,53.01,57,75,8.05,broken clouds
378,qui nhon,VN,13.77,109.23,78.85,83,100,6.22,light rain
379,el estor,GT,15.53,-89.35,86.14,48,100,2.84,overcast clouds
380,coari,BR,-4.08,-63.14,90.68,51,100,1.97,heavy intensity rain
381,luanda,AO,-8.84,13.23,75.2,83,40,9.17,scattered clouds
382,derzhavinsk,KZ,51.1,66.32,36.77,76,0,13.49,clear sky
383,lata,PT,40.16,-8.33,59.0,73,59,4.0,broken clouds
384,vanimo,PG,-2.67,141.3,77.25,86,99,3.18,overcast clouds
385,ixtapa,MX,20.7,-105.2,90.0,55,5,5.82,clear sky
386,yermakovskoye,RU,53.28,92.4,36.14,82,84,2.59,broken clouds
387,margate,GB,51.38,1.39,53.01,96,100,5.01,light rain
388,west bay,KY,19.37,-81.42,87.01,79,20,10.29,few clouds
389,roma,US,43.21,-75.46,62.6,48,1,8.05,clear sky
390,shuangyang,CN,43.52,125.67,44.6,81,40,13.42,scattered clouds
391,estepa,ES,37.29,-4.88,69.8,56,100,10.29,overcast clouds
392,nanakuli,US,21.39,-158.15,80.6,65,1,4.7,clear sky
393,kamenka,RU,51.32,42.77,52.0,62,0,7.23,clear sky
394,sisimiut,GL,66.94,-53.67,30.04,91,7,3.4,clear sky
